City,Latitude,Longitude
Orlando,28.5421109,-81.3790304
Vero Beach,27.6387163,-80.3975399
Orange County,33.750631,-117.8722311
Roberta,32.7219973,-84.0130926
Traverse City,44.7606481,-85.6165976
St. Louis,38.6280278,-90.1910154
Harbor City,47.5982363,-122.3233488
Monrovia,34.1483499,-118.0014517
La Mesa,32.7678288,-117.0230839
Belleville,38.5135805,-89.9841627
Hampton,37.0264414,-76.3442846
Millstone Township,40.2023684,-74.4079671
Centreville,38.84487,-77.43540260778344
Mystic,40.7776709,-92.9453445
McIntosh,31.4979689,-81.3921575
Grandview,32.2666506,-97.1785429
Wickliffe,36.9647458,-89.0893387
Maui,20.802956799999997,-156.31068331602177
Grant County,45.9358795,-96.0272071
Great Falls,47.5048851,-111.29189
Roslindale,42.2912093,-71.1244966
Clarkton,36.4517276,-89.9670353
Lompoc,34.6391501,-120.4579009
St. Augustine,40.7183728,-90.4109616
Santa Cruz,37.050096,-121.99059
Bloomington,40.4797828,-88.9939147
Elkhart,41.6012796,-85.8590603
Zeigler,37.8994945,-89.0520194
Hammond,41.6173959,-87.5220108
Winfield,37.2397486,-96.9955919
Clayton,33.5204959,-84.3591713
Elgin,42.03726,-88.2810994
Burnsville,44.7670567,-93.2773887
Virginia,37.1232245,-78.4927721
Prescott,34.539984,-112.468812
Hays,30.0447901,-98.0393127
Port Huron,42.9760854,-82.4333742
Arcadia,34.1362075,-118.0401497
Bolingbrook,41.7003302,-88.0717708
Pineville,36.7620301,-83.6949176
Reedley,36.5963906,-119.4511877
Brunswick,34.0718195,-78.1914215
Terre Haute,39.4667025,-87.4139119
McGehee,33.6294189,-91.399277
Flint,43.0161693,-83.6900211
Fort Madison,40.6311415,-91.3084007
Russellville,35.2784173,-93.1337856
Sailes,32.4254325,-93.1082193
Mexico,39.1697626,-91.8829484
Eldorado,30.8601112,-100.5991425
Pine Bluff,34.2157064,-92.0140402
Delphi,40.5875371,-86.6750059
Kearney,40.4906216,-98.9472344
Rosemond,32.3487502,-86.2763569
Shelby,31.7716364,-94.1301652
Paris,33.6617962,-95.555513
West Lafayette,40.4258686,-86.9080655
Salinas,36.6744117,-121.655037
Bowling Green,36.9903199,-86.4436018
Lancaster,40.08067,-76.2411283
Quitman,31.8769847,-85.0154412
Ventura,34.4458248,-119.0779359
Fresno,36.7394421,-119.78483
Tipton,40.2899154,-86.058442
Palmdale,34.5793131,-118.11711
Tarzana,34.1689262,-118.5365791
Lake Charles,30.2305095,-93.2169807
Andalusia,31.3080607,-86.482424
Walnut Creek,37.9020731,-122.0618702
Anchorage,61.2163129,-149.894852
Lawrenceville,33.9566391,-83.9890066
Hanford,36.3274502,-119.6456844
Asbury Park,40.2203907,-74.0120817
Christopher,37.9725501,-89.053408
West Monroe,32.5184775,-92.1476353
Wray,40.0758822,-102.223253
Oak Lawn,41.7108662,-87.7581081
St. Joseph,45.5645229,-94.3180516
Dublin,40.0996009,-83.1135563
Burgin,37.7522783,-84.7611039
Apple Valley,44.7319094,-93.21772
Gridley,39.3637773,-121.693583
Wood River,38.861159,-90.0976069
Lake City,44.4478474,-92.2678663
Pembroke Pines,26.0061943,-80.2872086
Henderson,32.182598,-95.7893178
Key West,24.5548262,-81.8020722
Colton,34.0739016,-117.3136547
Scooba,32.8290581,-88.4767398
Lauderdale Lakes,26.1667184,-80.2085565
Collins,41.9028032,-93.3063381
Owingsville,38.1448015,-83.7640847
Lake Wales,27.9014133,-81.5859099
Cotton Plant,35.0034813,-91.2501639
Anniston,33.6624824,-85.8283224
Vidalia,32.2176855,-82.4134614
Springfield,39.7990175,-89.6439575
Waterbury,41.5538091,-73.0438362
Rayville,32.4746949,-91.7568292
Natchez,31.5604076,-91.403171
East Dundee,42.0989145,-88.2714689
Oceanside,33.1958696,-117.3794834
Iowa,41.9216734,-93.3122705
Fountain Valley,33.7038145,-117.9627349
Stamford,41.0534302,-73.5387341
Carrolton,39.7055999,-85.8208126
Meriden,41.5381535,-72.8070435
Fort Pierce,27.4467056,-80.3256056
Luverne,43.6542342,-96.2127811
Harpersville,33.3439995,-86.4380357
McComb,31.2437872,-90.4531536
Conway,35.2521996,-92.6888936
Maywood,33.9866807,-118.185349
Tuskegee,32.4240535,-85.6908715
Overland Park,38.9742502,-94.6851702
Demopolis,32.5178284,-87.8368201
Dalton,34.7691867,-84.9702475
Fulton,34.0580391,-84.2961283
Hanceville,34.0623275,-86.7627004
Leighton,41.3372219,-92.7871158
Cocoa,28.3556635,-80.7325345
Dixon,42.4351249,-96.8792569
Cambridge,42.3656347,-71.1040018
Berkeley,37.8708393,-122.272863
Grand Rapids,42.9632425,-85.6678639
Minneapolis,44.9772995,-93.2654692
Morganfield,37.6833776,-87.9166916
Roxbury,41.5568282,-73.3088922
Maplewood,45.0082216,-93.0456985
Tulare,36.2516475,-118.852583
Cerritos,33.8644291,-118.0539323
Centralia,38.5250491,-89.1334037
Bridgeport,41.1792695,-73.1887863
Bedford,40.0271453,-78.5237447
Chatsworth,34.2595715,-118.6023247
Jonesboro,35.8272257,-90.6949871
Cherry Hill,39.9348351,-75.0307264
Bainbridge,30.9038252,-84.5754768
Campbell Hill,37.9300513,-89.5489852
Crowley,38.3394806,-103.8263042
Hico,31.9835159,-98.0316402
South Bend,41.6833813,-86.2500066
Yorktown,37.2378875,-76.5080633
Junction City,39.0286093,-96.8313978
Minden,41.4667146,-95.542622
San Leandro,37.7249296,-122.1560768
Tuscaloosa,33.2095614,-87.5675258
Mount Airy,39.3765918,-77.1549078
River Edge,40.9287098,-74.0398622
Salem,44.9391565,-123.033121
Libertyville,40.9574491,-92.0514386
DeRidder,30.846201,-93.289281
Havre de Grace,39.5491329,-76.095817
Cottage Grove,44.8277446,-92.9438218
Augusta,33.4709714,-81.9748429
Missoula,46.8701049,-113.995267
Huntington,38.4192496,-82.445154
Washington,47.2868352,-120.212613
Carruthers,41.82334005,-87.60949520142219
Hill City,39.364728,-99.842065
Roswell,34.02332,-84.360022
Webster County,32.050618,-84.5473105
Edison,40.518157,-74.4113926
Quincy,42.2509914,-71.0037374
Milton,42.2501425,-71.065573
Lansing,42.7337712,-84.5553805
DeQuincy,30.4499652,-93.4341349
Gonvick,47.7370442,-95.5131887
Boca Raton,26.3586885,-80.0830984
Brooklyn,40.6526006,-73.9497211
Inkster,42.2942045,-83.3099303
Framingham,42.2773177,-71.4165905
Crenshaw,31.6809362,-86.3244009
Irvine,33.6856969,-117.825981
West Memphis,35.1464797,-90.1845388
Benton Harbor,42.1167065,-86.4541894
Oakland,37.8044557,-122.271356
Woodbury,42.3775361,-96.0607187
Vanceburg,38.599243,-83.3187952
Southaven,34.9873822,-90.0034862
